Id,Label,timeset,subactivity,mainactivity,mainindustry,modularity_class,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,eigencentrality
1542,,,Manufacture of refined oils and fats,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,13,0,0,0,0,0,0,14,0,0,0
1543,,,Manufacture of margarine and similar edible fats,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,1,0.996565,7,0.274434,0.287955,0,0,0,0,0.008518
1551,,,"Liquid milk and cream production,Butter and cheese production Manufacture of other milk products",Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,8,6.524078,6,0.352159,0.381682,276.980623,0,0.464286,13,0.101992
1552,,,Manufacture of ice cream,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,2,1.978324,7,0.272494,0.289566,0,0,1,1,0.012925
1561,,,"Grain milling, Manufacture of breakfast cereals and cereals-based food",Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,6,5.823631,6,0.292818,0.313247,256.266491,0,0.466667,7,0.031684
1562,,,Manufacture of starches and starch products,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,14,0,0,0,0,0,0,15,0,0,0
1571,,,Manufacture of prepared feeds for farm animals,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,3,2.984359,7,0.240227,0.25447,40.248775,0,0,0,0.004769
1572,,,Manufacture of prepared pet foods,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,2,1.98674,7,0.226859,0.238062,5.888492,0,0,0,0.002937
1581,,,Manufacture of bread; manufacture of fresh pastry goods and cakes,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,17,10.734267,5,0.385455,0.422563,1781.460299,0,0.242647,33,0.229153
1582,,,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,8,7.239089,6,0.337043,0.365252,231.281994,0,0.5,14,0.083544
1583,,,Manufacture of sugar,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,6,1,0.915308,6,0.319759,0.339898,0,0,0,0,0.036355
1584,,,Manufacture of cocoa and  chocolate confectionery Manufacture of sugar confectionery,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,5,4.53264,6,0.290212,0.310142,815.897737,0,0.2,2,0.028288
1585,,,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,1,0.989109,6,0.278398,0.291667,0,0,0,0,0.011531
1586,,,Tea processing Production of coffee and coffee substitutes,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,1,0.994407,7,0.225053,0.23417,0,0,0,0,0.002047
1587,,,Manufacture of condiments and seasonings,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,2,1.987182,7,0.275146,0.28992,0,0,1,1,0.010776
1588,,,Manufacture of homogenized food preparations and dietetic food,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,16,0,0,0,0,0,0,16,0,0,0
1589,,,Manufacture of soups Manufacture of other food products n.e.c.,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,15,12.266782,6,0.377897,0.414819,1645.939259,0,0.209524,22,0.160517
1591,,,Manufacture of distilled potable alcoholic beverages,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,8,1,0.982448,7,0.277124,0.289252,0,0,0,0,0.008076
1592,,,Production of ethyl alcohol from fermented materials,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,17,0,0,0,0,0,0,17,0,0,0
1593,,,Manufacture of wine of fresh grapes and grape juice Manufacture of wine based on concentrated grape must,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,18,0,0,0,0,0,0,18,0,0,0
1594,,,Manufacture of cider and perry Manufacture of other fermented fruit beverages,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,8,1,0.996844,7,0.277124,0.289252,0,0,0,0,0.008076
1595,,,Manufacture of other non-distilled fermented beverages,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,19,0,0,0,0,0,0,19,0,0,0
1596,,,Manufacture of beer,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,8,3,2.535527,6,0.322925,0.346226,3.932092,0,0.666667,2,0.054896
1597,,,Manufacture of malt,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,20,0,0,0,0,0,0,20,0,0,0
1598,,,Production of mineral waters and soft drinks,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,8,1,0.976438,7,0.277124,0.289252,0,0,0,0,0.008076
1600,,,Manufacture of tobacco products,Manufacture of Textiles & Textile Products,Manufacture of Textiles,6,1,0.9647,6,0.293223,0.310692,0,0,0,0,0.028956
1711,,,Preparation and spinning of cotton-type fibres,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,21,0,0,0,0,0,0,21,0,0,0
1712,,,Preparation and spinning of woollen-type fibres,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,1,2,1.995311,7,0.223747,0.233418,423,0,0,0,0.001975
1713,,,Preparation and spinning of worsted-type fibres,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,1,1,0.998937,8,0.182916,0.188589,0,0,0,0,0.000695
1714,,,Preparation and spinning of flax-type fibres,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,22,0,0,0,0,0,0,22,0,0,0
1715,,,"Throwing and preparation of silk, including from noils, and throwing and texturing of synthetic or artificial filament yarns",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,23,0,0,0,0,0,0,23,0,0,0
1716,,,Manufacture of sewing threads,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,24,0,0,0,0,0,0,24,0,0,0
1717,,,Preparation and spinning of other textile fibres,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,25,0,0,0,0,0,0,25,0,0,0
1721,,,Cotton-type weaving,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,2,1.995898,7,0.231947,0.243778,423,0,0,0,0.003024
1722,,,Woollen-type weaving,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,26,0,0,0,0,0,0,26,0,0,0
1723,,,Worsted-type weaving,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,1,0.999432,8,0.188361,0.195016,0,0,0,0,0.000745
1724,,,Silk-type weaving,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,2,1.997021,7,0.207132,0.216307,423,0,0,0,0.0016
1725,,,Other textile weaving,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,3,2.988369,6,0.260763,0.276297,849.374164,0,0,0,0.007557
1730,,,Finishing of textiles,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,5,4.664452,6,0.30135,0.325,891.563564,0,0,0,0.03774
1740,,,"Manufacture of soft furnishings, manufacture of canvas goods, sacks, etc.,Manufacture of household textiles",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,8,6.761991,6,0.335443,0.363286,1110.63695,0,0.107143,3,0.073804
1751,,,Manufacture of woven/tufted/other carpets and rugs,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,1,2,1.892267,6,0.287653,0.304717,844,0,0,0,0.017888
1752,,,"Manufacture of cordage, rope, twine and netting",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,27,0,0,0,0,0,0,27,0,0,0
1753,,,"Manufacture of non-wovens and articles made from non-wovens, except apparel",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,28,0,0,0,0,0,0,28,0,0,0
1754,,,Manufacture of narrow fabricsManufacture of other textiles n.e.c.Manufacture of lace,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,1,0.997775,8,0.17166,0.177154,0,0,0,0,0.000685
1760,,,Manufacture of knitted and crocheted fabrics,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,29,0,0,0,0,0,0,29,0,0,0
1771,,,Manufacture of knitted and crocheted hosiery,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,5,4.677704,6,0.333858,0.359002,97.426728,0,0.4,4,0.059635
1772,,,"Manufacture of knitted and crocheted pullovers, cardigans and similar articles",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,5,4.114552,6,0.293223,0.316274,52.107425,0,0.4,4,0.029464
1810,,,Manufacture of leather clothes,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,30,0,0,0,0,0,0,30,0,0,0
1821,,,Manufacture of workwear,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,1,0.987576,7,0.238336,0.249596,0,0,0,0,0.003741
1822,,,Manufacture of other men's outerwear Manufacture of other women's outerwear,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,8,6.778273,6,0.312684,0.339465,468.472358,0,0.357143,10,0.063321
1823,,,Manufacture of men's underwear Manufacture of women's underwear,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,6,4.492437,6,0.347541,0.375865,260.345996,0,0.333333,5,0.081306
1824,,,Manufacture of hats Cut make and trim for clothing manufacturers Manufacture of other wearing apparel and accessories n.e.c.,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,3,6,4.152901,6,0.313146,0.341195,33.341986,0,0.533333,8,0.069413
1830,,,Dressing and dyeing of fur; manufacture of articles of fur,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather,31,0,0,0,0,0,0,31,0,0,0
1910,,,Tanning and dressing of leather,Manufacture of Leather & Leather Products,Manufacture of Textiles and Leather,6,1,0.895177,6,0.319759,0.339898,0,0,0,0,0.036355
1920,,,"Manufacture of luggage, handbags and the like, saddlery and harness",Manufacture of Leather & Leather Products,Manufacture of Textiles and Leather,10,1,0.93738,6,0.30135,0.319458,0,0,0,0,0.030549
1930,,,Manufacture of footwear,Manufacture of Leather & Leather Products,Manufacture of Textiles and Leather,3,1,0.968751,6,0.268865,0.281329,0,0,0,0,0.008499
2010,,,Sawmilling and planing of wood; impregnation of wood,Manufacture of Wood & Wood Product,,11,3,2.935333,6,0.290411,0.309002,16.343417,0,0.333333,1,0.024667
2020,,,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board, fibre board and other panels and boards",Manufacture of Wood & Wood Product,,11,1,0.988795,6,0.251931,0.264898,0,0,0,0,0.006082
2030,,,Manufacture of builders' carpentry and joinery,Manufacture of Wood & Wood Product,,11,13,11.729285,5,0.336508,0.370086,719.987691,0,0.282051,22,0.109749
2040,,,Manufacture of wooden containers,Manufacture of Wood & Wood Product,,33,0,0,0,0,0,0,32,0,0,0
2051,,,Manufacture of other products of wood,Manufacture of Wood & Wood Product,,34,0,0,0,0,0,0,33,0,0,0
2052,,,"Manufacture of articles of cork, straw and plaiting materials",Manufacture Paper; Publishing; Printing,,35,0,0,0,0,0,0,34,0,0,0
2111,,,Manufacture of pulp,Manufacture Paper; Publishing; Printing,,6,1,0.999332,7,0.220948,0.230211,0,0,0,0,0.001692
2112,,,"Manufacture of paper and paperboard, cartons, boxes and cases of corrugated paper and paperboard,and similar containers of paper and paperboard specifically designed for carrying liquids, whether or not waxed",Manufacture Paper; Publishing; Printing,,6,9,8.121345,6,0.340289,0.369182,407.268043,0,0.305556,11,0.080915
2121,,,Manufacture of other containers,Manufacture Paper; Publishing; Printing,,6,7,5.833128,6,0.336241,0.363286,128.37643,0,0.333333,7,0.073329
2122,,,Manufacture of household and sanitary goods and of toilet requisites,Manufacture Paper; Publishing; Printing,,6,5,4.89406,6,0.283422,0.303577,446.171948,0,0.2,2,0.019753
2123,,,Manufacture of paper stationery,Manufacture Paper; Publishing; Printing,,6,4,3.723792,6,0.3217,0.347248,22.70306,0,0.333333,2,0.072215
2124,,,Manufacture of wallpaper,Manufacture Paper; Publishing; Printing,,36,0,0,0,0,0,0,35,0,0,0
2125,,,Manufacture of unprinted labels Manufacture of other articles of paper and paperboard n.e.c. Manufacture of printed labels,Manufacture Paper; Publishing; Printing,,6,7,6.749614,6,0.299224,0.32272,434.358522,0,0.380952,8,0.039365
2211,,,Publishing of books,Manufacture Paper; Publishing; Printing,,6,10,5.969195,5,0.367418,0.399646,297.930786,0,0.311111,14,0.171111
2212,,,Publishing of newspapers,Manufacture Paper; Publishing; Printing,,6,10,6.475226,5,0.373568,0.40511,628.431682,0,0.311111,14,0.167941
2213,,,Publishing of journals and periodicals,Manufacture Paper; Publishing; Printing,,6,13,8.177644,5,0.370954,0.405385,217.705675,0,0.423077,33,0.233591
2214,,,Publishing of sound recordings,Manufacture Paper; Publishing; Printing,,37,0,0,0,0,0,0,36,0,0,0
2215,,,Other publishing,Manufacture Paper; Publishing; Printing,,6,3,2.889318,6,0.294649,0.312421,0,0,1,3,0.033585
2221,,,Printing of newspapers,Manufacture Paper; Publishing; Printing,,6,1,0.99033,6,0.272144,0.284119,0,0,0,0,0.008304
2222,,,Other printing,Manufacture Paper; Publishing; Printing,,6,24,15.669383,5,0.386861,0.430857,2888.880259,0,0.15942,44,0.280787
2223,,,Bookbinding,Manufacture Paper; Publishing; Printing,,6,1,0.978206,6,0.279131,0.2943,0,0,0,0,0.013958
2224,,,Pre-press activities,Manufacture Paper; Publishing; Printing,,6,2,1.950033,6,0.279315,0.29548,0,0,1,1,0.015227
2225,,,Ancillary activities related to printing,Manufacture Paper; Publishing; Printing,,6,2,1.975045,6,0.279315,0.29548,0,0,1,1,0.015227
2231,,,Reproduction of sound recording,Manufacture Paper; Publishing; Printing,,1,1,0.992708,7,0.265,0.277813,0,0,0,0,0.009162
2232,,,Reproduction of video recording,Manufacture Paper; Publishing; Printing,,39,0,0,0,0,0,0,37,0,0,0
2233,,,Reproduction of computer media,Manufacture Paper; Publishing; Printing,,40,0,0,0,0,0,0,38,0,0,0
2310,,,Manufacture of coke oven products,Manufacture Paper; Publishing; Printing,,41,0,0,0,0,0,0,39,0,0,0
2320,,,Mineral oil refining,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,9,8,6.419059,6,0.346122,0.375393,183.616924,0,0.321429,9,0.086509
2330,,,Processing of nuclear fuel,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,9,3,2.764439,7,0.296089,0.317554,5.730933,0,0.333333,1,0.037229
2411,,,Manufacture of industrial gases,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,42,0,0,0,0,0,0,40,0,0,0
2412,,,Manufacture of dyes and pigments,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,4,3.900623,6,0.284564,0.303184,12.452742,0,0.333333,2,0.019661
2413,,,Manufacture of other inorganic basic chemicals,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,5,4.924281,6,0.289815,0.310495,25.503912,0,0.4,4,0.027501
2414,,,Manufacture of other organic basic chemicals,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,13,11.923699,6,0.353333,0.387579,520.098441,0,0.179487,14,0.122424
2415,,,Manufacture of fertilizers and nitrogen compounds,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,43,0,0,0,0,0,0,41,0,0,0
2416,,,Manufacture of plastics in primary forms,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,14,12.149758,5,0.372256,0.40853,1110.561473,0,0.186813,17,0.146564
2417,,,Manufacture of synthetic rubber in primary forms,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,2,1.987056,6,0.277851,0.293396,0,0,1,1,0.014522
2420,,,Manufacture of pesticides and other agro-chemical products,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,5,4.754091,6,0.316418,0.338208,100.172703,0,0.2,2,0.03945
2430,,,"Manufacture of paints, varnishes and similar coatings, Manufacture of mastics and sealants,Manufacture of printing ink","Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,10,7.990014,6,0.368696,0.401258,732.992887,0,0.177778,8,0.128368
2441,,,Manufacture of basic pharmaceutical products,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,6,5.122416,6,0.34584,0.37217,68.601728,0,0.333333,5,0.08061
2442,,,Manufacture of medicaments,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,14,11.618176,5,0.347826,0.382351,750.877311,0,0.120879,11,0.110706
2451,,,"Manufacture of soap and detergents,  cleaning and polishing preparations , perfumes and toilet preparations","Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,7,6.278853,6,0.343598,0.371069,142.504238,0,0.190476,4,0.07847
2461,,,Manufacture of explosives,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,44,0,0,0,0,0,0,42,0,0,0
2462,,,Manufacture of glues and gelatines,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,1,0.992592,7,0.269549,0.282019,0,0,0,0,0.006745
2463,,,Manufacture of essential oils,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,45,0,0,0,0,0,0,43,0,0,0
2464,,,Manufacture of photographic chemical material,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,5,5,4.676643,6,0.319037,0.344772,134.093913,0,0.1,1,0.059348
2465,,,Manufacture of prepared unrecorded media,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,46,0,0,0,0,0,0,44,0,0,0
2466,,,Manufacture of other chemical products n.e.c.,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,7,7,6.839091,6,0.295883,0.318357,30.698674,0,0.380952,8,0.03533
2470,,,Manufacture of man-made fibres,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics,47,0,0,0,0,0,0,45,0,0,0
2511,,,Manufacture of rubber tyres and tubes,Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics,1,1,0.981745,7,0.271273,0.285518,0,0,0,0,0.011476
2512,,,Retreading and rebuilding of rubber tyres,Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics,48,0,0,0,0,0,0,46,0,0,0
2513,,,Manufacture of other rubber products,Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics,1,3,2.74612,5,0.308588,0.328774,0.696078,0,0.666667,2,0.045533
2521,,,"Manufacture of plastic plates, sheets, tubes and profiles",Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics,6,14,12.037286,5,0.373568,0.409159,753.391724,0,0.241758,22,0.168907
2522,,,Manufacture of plastic packing goods,Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics,6,8,6.85623,5,0.350703,0.380464,630.470774,0,0.214286,6,0.095442
2523,,,"Manufacture of plastic floor covering,Manufacture of other builders' ware of plastic",Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics,11,16,11.636734,5,0.396262,0.433884,1478.207328,0,0.208333,25,0.215994
2524,,,Manufacture of other plastic products,Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics,1,33,25.703031,5,0.387215,0.438247,2699.002599,0,0.107955,57,0.321762
2611,,,Manufacture of flat glass,Manufacture Other Non-Metal Mineral Products,Manufacture Other,11,1,0.998382,7,0.230435,0.239634,0,0,0,0,0.00221
2612,,,Shaping and processing of flat glass,Manufacture Other Non-Metal Mineral Products,Manufacture Other,11,4,3.880442,6,0.299224,0.319222,423,0,0.5,3,0.033744
2613,,,Manufacture of hollow glass,Manufacture Other Non-Metal Mineral Products,Manufacture Other,3,1,0.933453,7,0.272844,0.287483,0,0,0,0,0.013639
2614,,,Manufacture of glass fibres,Manufacture Other Non-Metal Mineral Products,Manufacture Other,6,3,2.949379,5,0.300071,0.319851,8.075473,0,0.333333,1,0.031852
2615,,,"Manufacture and processing of other glass, including technical glassware",Manufacture Other Non-Metal Mineral Products,Manufacture Other,1,2,1.955643,6,0.29424,0.313208,1.46148,0,0,0,0.028322
2621,,,Manufacture of ceramic household and ornamental articles,Manufacture Other Non-Metal Mineral Products,Manufacture Other,3,2,1.274999,6,0.331768,0.352869,7.569447,0,0,0,0.049995
2622,,,Manufacture of ceramic sanitary fixtures,Manufacture Other Non-Metal Mineral Products,Manufacture Other,11,1,0.998874,8,0.184028,0.18992,0,0,0,0,0.00071
2623,,,Manufacture of ceramic insulators and insulating fittings,Manufacture Other Non-Metal Mineral Products,Manufacture Other,50,0,0,0,0,0,0,47,0,0,0
2624,,,Manufacture of other technical ceramic products,Manufacture Other Non-Metal Mineral Products,Manufacture Other,51,0,0,0,0,0,0,48,0,0,0
2625,,,Manufacture of other ceramic products,Manufacture Other Non-Metal Mineral Products,Manufacture Other,52,0,0,0,0,0,0,49,0,0,0
2626,,,Manufacture of refractory ceramic products,Manufacture Other Non-Metal Mineral Products,Manufacture Other,53,0,0,0,0,0,0,50,0,0,0
2630,,,Manufacture of ceramic tiles and flags,Manufacture Other Non-Metal Mineral Products,Manufacture Other,54,0,0,0,0,0,0,51,0,0,0
2640,,,"Manufacture of bricks, tiles and construction products, in baked clay",Manufacture Other Non-Metal Mineral Products,Manufacture Other,6,3,2.944646,6,0.288043,0.305346,15.373981,0,0.333333,1,0.019456
2651,,,Manufacture of cement,Manufacture Other Non-Metal Mineral Products,Manufacture Other,9,1,0.996985,7,0.244099,0.254509,0,0,0,0,0.003262
